series,wiki_title,status,type,subtype,operator_page_title,operator_jp,operator_en,full_name
E2系,新幹線E2系電車,現役,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E2系電車
E3系,新幹線E3系電車,現役,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E3系電車
E5系,新幹線E5系・H5系電車,現役,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E5系・H5系電車
E6系,新幹線E6系電車,現役,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E6系電車
E7系,新幹線E7系・W7系電車,現役,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E7系・W7系電車
E8系,新幹線E8系電車,現役,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E8系電車
E926形,新幹線E926形電車,現役,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E926形電車
E956形,新幹線E956形電車,現役,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E956形電車
C57形,国鉄C57形蒸気機関車,現役,蒸気機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄C57形蒸気機関車
C58形,国鉄C58形蒸気機関車,現役,蒸気機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄C58形蒸気機関車
C61形,国鉄C61形蒸気機関車,現役,蒸気機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄C61形蒸気機関車
D51形,国鉄D51形蒸気機関車,現役,蒸気機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄D51形蒸気機関車
EF64形,国鉄EF64形電気機関車,現役,電気機関車,直流用,"[""JR東日本の車両形式"", ""JR貨物の車両形式""]","[""JR東日本"", ""JR貨物""]","[""JR East"", ""JR Freight""]",国鉄EF64形電気機関車
EF65形,国鉄EF65形電気機関車,現役,電気機関車,直流用,"[""JR東日本の車両形式"", ""JR貨物の車両形式""]","[""JR東日本"", ""JR貨物""]","[""JR East"", ""JR Freight""]",国鉄EF65形電気機関車
EF81形,国鉄EF81形電気機関車,現役,電気機関車,交直両用,"[""JR東日本の車両形式"", ""JR貨物の車両形式""]","[""JR東日本"", ""JR貨物""]","[""JR East"", ""JR Freight""]",国鉄EF81形電気機関車
DD14形,国鉄DD14形ディーゼル機関車,現役,ディーゼル機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄DD14形ディーゼル機関車
DD51形,国鉄DD51形ディーゼル機関車,現役,ディーゼル機関車,,"[""JR東日本の車両形式"", ""JR貨物の車両形式""]","[""JR東日本"", ""JR貨物""]","[""JR East"", ""JR Freight""]",国鉄DD51形ディーゼル機関車
DE10形,国鉄DE10形ディーゼル機関車,現有車両（貨車以外）,ディーゼル機関車,液体式,"[""JR東日本の車両形式"", ""JR貨物の車両形式""]","[""JR東日本"", ""JR貨物""]","[""JR East"", ""JR Freight""]",国鉄DE10形ディーゼル機関車
157系,国鉄157系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄157系電車
253系,JR東日本253系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本253系電車
255系,JR東日本255系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本255系電車
E257系,JR東日本E257系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E257系電車
E259系,JR東日本E259系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E259系電車
E261系,JR東日本E261系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E261系電車
E353系,JR東日本E353系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E353系電車
583系,国鉄583系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄583系電車
651系,JR東日本651系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本651系電車
E653系,JR東日本E653系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E653系電車
E655系,JR東日本E655系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E655系電車
E657系,JR東日本E657系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E657系電車
E751系,JR東日本E751系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E751系電車
211系,国鉄211系電車,現役,電車,近郊形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄211系電車
719系,JR東日本719系電車,現役,電車,近郊形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本719系電車
E127系,JR東日本E127系電車,現役,電車,通勤形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E127系電車
205系,国鉄205系電車,現役,電車,通勤形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄205系電車
209系,JR東日本209系電車,現役,電車,通勤形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本209系電車
E501系,JR東日本E501系電車,現役,電車,通勤形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E501系電車
701系,JR東日本701系電車,現役,電車,通勤形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本701系電車
E129系,JR東日本E129系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E129系電車
E131系,JR東日本E131系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E131系電車
E231系,JR東日本E231系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E231系電車
E233系,JR東日本E233系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E233系電車
E235系,JR東日本E235系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E235系電車
E531系,JR東日本E531系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E531系電車
E721系,JR東日本E721系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E721系電車
EV-E301系,JR東日本EV-E301系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本EV-E301系電車
EV-E801系,JR東日本EV-E801系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本EV-E801系電車
E491系,JR東日本E491系電車,現役,電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E491系電車
E493系,JR東日本E493系電車,現役,電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E493系電車
FV-E991系,JR東日本FV-E991系電車,現役,電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本FV-E991系電車
キハ40系,国鉄キハ40系気動車 (2代),現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄キハ40系気動車 (2代)
キハ100系,JR東日本キハ100系・キハ110系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キハ100系・キハ110系気動車
キハ110系,JR東日本キハ100系・キハ110系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キハ100系・キハ110系気動車
キハE120形,JR東日本キハE120形気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キハE120形気動車
キハE130系,JR東日本キハE130系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キハE130系気動車
GV-E400系,JR東日本GV-E400系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本GV-E400系気動車
キハE200形,JR東日本キハE200形気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キハE200形気動車
HB-E210系,JR東日本HB-E210系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本HB-E210系気動車
HB-E220系,JR東日本HB-E220系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本HB-E220系気動車
HB-E300系,JR東日本HB-E300系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本HB-E300系気動車
キヤE193系,JR東日本キヤE193系気動車,現役,気動車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キヤE193系気動車
キヤE195系,JR東海キヤ97系気動車#JR東日本キヤE195系気動車,現役,気動車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東海キヤ97系気動車#JR東日本キヤE195系気動車
GV-E197系,JR東日本GV-E197系気動車,現役,気動車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本GV-E197系気動車
E001形,TRAIN SUITE 四季島#使用車両・編成,現役,電気・ディーゼル両用（EDC方式）車両,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",TRAIN SUITE 四季島#使用車両・編成
200系,新幹線200系電車,廃止,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線200系電車
400系,新幹線400系電車,廃止,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線400系電車
E1系,新幹線E1系電車,廃止,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E1系電車
E4系,新幹線E4系電車,廃止,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E4系電車
921形,ドクターイエロー#921形,廃止,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",ドクターイエロー#921形
925形,ドクターイエロー#925形,廃止,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",ドクターイエロー#925形
952形,新幹線952形・953形電車,廃止,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線952形・953形電車
953形,新幹線952形・953形電車,廃止,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線952形・953形電車
E954形,新幹線E954形電車,廃止,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E954形電車
E955形,新幹線E955形電車,廃止,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E955形電車
EF55形,国鉄EF55形電気機関車,廃止,電気機関車,直流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄EF55形電気機関車
EF58形,国鉄EF58形電気機関車,廃止,電気機関車,直流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄EF58形電気機関車
EF60形,国鉄EF60形電気機関車,廃止,電気機関車,直流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄EF60形電気機関車
EF62形,国鉄EF62形電気機関車,廃止,電気機関車,直流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄EF62形電気機関車
EF63形,国鉄EF63形電気機関車,廃止,電気機関車,直流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄EF63形電気機関車
EF510形,JR貨物EF510形電気機関車,廃止,電気機関車,交直両用,"[""JR東日本の車両形式"", ""JR貨物の車両形式""]","[""JR東日本"", ""JR貨物""]","[""JR East"", ""JR Freight""]",JR貨物EF510形電気機関車
ED75形,国鉄ED75形電気機関車,廃止,電気機関車,交流用,"[""JR東日本の車両形式"", ""JR貨物の車両形式""]","[""JR東日本"", ""JR貨物""]","[""JR East"", ""JR Freight""]",国鉄ED75形電気機関車
ED77形,国鉄ED77形電気機関車,廃止,電気機関車,交流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄ED77形電気機関車
ED78形,国鉄ED78形電気機関車,廃止,電気機関車,交流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄ED78形電気機関車
EF71形,国鉄EF71形電気機関車,廃止,電気機関車,交流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄EF71形電気機関車
DD15形,国鉄DD15形ディーゼル機関車,廃止,ディーゼル機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄DD15形ディーゼル機関車
DD16形,国鉄DD16形ディーゼル機関車,廃止,ディーゼル機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄DD16形ディーゼル機関車
DD17形,国鉄DD17形ディーゼル機関車,廃止,ディーゼル機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄DD17形ディーゼル機関車
DD18形,JR東日本DD18形ディーゼル機関車,廃止,ディーゼル機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本DD18形ディーゼル機関車
DD19形,国鉄DD17形ディーゼル機関車#DD19形,廃止,ディーゼル機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄DD17形ディーゼル機関車#DD19形
DD53形,国鉄DD53形ディーゼル機関車,廃止,ディーゼル機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄DD53形ディーゼル機関車
DE11形,国鉄DE11形ディーゼル機関車,現有車両（貨車以外）,ディーゼル機関車,液体式,"[""JR東日本の車両形式"", ""JR貨物の車両形式""]","[""JR東日本"", ""JR貨物""]","[""JR East"", ""JR Freight""]",国鉄DE11形ディーゼル機関車
DE15形,国鉄DE15形ディーゼル機関車,廃止,ディーゼル機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄DE15形ディーゼル機関車
183系,国鉄183系電車,廃止,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄183系電車
185系,国鉄185系電車,廃止,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄185系電車
189系,国鉄183系電車#189系,廃止,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄183系電車#189系
251系,JR東日本251系電車,廃止,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本251系電車
E351系,JR東日本E351系電車,廃止,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E351系電車
481系,国鉄485系電車,廃止,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄485系電車
483系,国鉄485系電車,廃止,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄485系電車
485系,国鉄485系電車,廃止,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄485系電車
489系,国鉄485系電車,廃止,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄485系電車
165系,国鉄165系電車,廃止,電車,急行形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄165系電車
167系,国鉄165系電車,廃止,電車,急行形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄165系電車
169系,国鉄165系電車,廃止,電車,急行形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄165系電車
451系,国鉄457系電車,廃止,電車,急行形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄457系電車
453系,国鉄457系電車,廃止,電車,急行形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄457系電車
455系,国鉄457系電車,廃止,電車,急行形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄457系電車
457系,国鉄457系電車,廃止,電車,急行形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄457系電車
113系,国鉄113系電車,廃止,電車,近郊形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄113系電車
115系,国鉄115系電車,廃止,電車,近郊形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄115系電車
123系,国鉄123系電車,廃止,電車,近郊形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄123系電車
215系,JR東日本215系電車,廃止,電車,近郊形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本215系電車
E217系,JR東日本E217系電車,廃止,電車,近郊形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E217系電車
401系,国鉄415系電車,廃止,電車,近郊形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄415系電車
403系,国鉄415系電車,廃止,電車,近郊形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄415系電車
415系,国鉄415系電車,廃止,電車,近郊形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄415系電車
417系,国鉄417系電車,廃止,電車,近郊形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄417系電車
